Indicador,Nombre,Descripción,Periodicidad,,
19,Cuenta financiera,Cuenta financiera,Trimestral,67, 
20,Inversión directa,Inversión directa,Trimestral,,
21,En el extranjero,En el extranjero,Trimestral,,
22,En la economía declarante,En la economía declarante,Trimestral,,
23,Inversión de cartera,Inversión de cartera,Trimestral,,
24,Títulos de participación en el capital,Títulos de participación en el capital,Trimestral,,
25,Títulos de deuda,Títulos de deuda,Trimestral,,
26,Otra inversión,Otra inversión,Trimestral,,
27,Créditos comerciales,Créditos comerciales,Trimestral,,
28,Préstamos,Préstamos,Trimestral,,
29,Moneda y depósitos,Moneda y depósitos,Trimestral,,
30,Otros activos y pasivos,Otros activos y pasivos,Trimestral,,
,Tipo de cambio colón costarricense,Tipo de cambio colón costarricense,Diaria,,
317,Compra,Compra,Diaria,,
318,Venta,Venta,Diaria,,
319,Tipo de cambio interbancario promedio mensual,Tipo de cambio interbancario promedio mensual,Mensual,,
320,Compra,Compra,Mensual,,
321,Venta,Venta,Mensual,,
322,Real Multilateral,Real Multilateral,Mensual,,
3237,Real Multilateral CE,Real Multilateral CE,Mensual,,
3238,Real Multilateral CD,Real Multilateral CD,Mensual,,
3239,Real Multilateral CT,Real Multilateral CT,Mensual,,
24329,ITCER Multilateral Ponderadores Móviles,ITCER Multilateral Ponderadores Móviles,Mensual,,
,Activos externos,Activos externos,Mensual,,
,Préstamos al exterior,Préstamos al exterior,Mensual,,
1863,Bancos comerciales,Bancos comerciales,Mensual,,
2933,Otros intermediarios financieros,Otros intermediarios financieros,Mensual,,
,Activos externos de reserva,Activos externos de reserva,Mensual,,
1315,Banco central,Banco central,Mensual,,
1858,Bancos comerciales,Bancos comerciales,Mensual,,
3044,Otros intermediarios financieros,Otros intermediarios financieros,Mensual,,
3587,Banco central,Banco central,Mensual,,
446,Tasa de redescuento,Tasa de redescuento,Mensual,,
,Medio circulante,Medio circulante,Mensual,,
1445,Medio circulante sistema bancario nacional,Medio circulante sistema bancario nacional,Mensual,,
1479,Medio circulante sistema financiero nacional,Medio circulante sistema financiero nacional,Mensual,,
2936,Otros activos netos,Otros activos netos,Mensual,,
670,"Ingresos, gasto y financiamiento efectivo, Gobierno","Ingresos, gasto y financiamiento efectivo, Gobierno",Mensual,,
1583,Resultado financiero del Gobierno Central,Resultado financiero del Gobierno Central,Mensual,,
1584,Financiamiento total,Financiamiento total,Mensual,,
1585,Financiamiento externo neto,Financiamiento externo neto,Mensual,,
1586,Desembolsos,Desembolsos,Mensual,,
1587,Amortizaciones,Amortizaciones,Mensual,,
1588,Financiamiento interno neto,Financiamiento interno neto,Mensual,,
1589,Bonos Neto,Bonos Neto,Mensual,,
1793,Financiamiento Banco Central Costa Rica neto,Financiamiento Banco Central Costa Rica neto,Mensual,,
1794,Uso/acumulado caja,Uso/acumulado caja,Mensual,,
1798,Otras Amortizaciones,Otras Amortizaciones,Mensual,,
,"Ingresos, gasto y financiamiento efectivo, Gobierno","Ingresos, gasto y financiamiento efectivo, Gobierno",Anual,,
1684,Ingresos totales del Gobierno Central,Ingresos totales del Gobierno Central,Anual,,
1685,Gastos totales del Gobierno Central,Gastos totales del Gobierno Central,Anual,,
1818,Resultado financiero del Gobierno Central,Resultado financiero del Gobierno Central,Anual,,
2774,Resultado financiero del Gobierno Central,Resultado financiero del Gobierno Central,Anual,,
779,"Producto Interno Bruto a precios de mercado, real","Producto Interno Bruto a precios de mercado, real",Anual,,
780,"Impuestos menos subvenciones sobre los productos, real","Impuestos menos subvenciones sobre los productos, real",Anual,,
781,"Impuesto sobre los productos y las importaciones, real","Impuesto sobre los productos y las importaciones, real",Anual,,
782,"Subvenciones a los productos, real","Subvenciones a los productos, real",Anual,,
2630,"Impuesto sobre los productos y las importaciones, real","Impuesto sobre los productos y las importaciones, real",Anual,,
2631,"Subvenciones a los productos, real","Subvenciones a los productos, real",Anual,,
2700,"Impuesto sobre los productos y las importaciones, real","Impuesto sobre los productos y las importaciones, real",Anual,,
2701,"Subvenciones a los productos, real","Subvenciones a los productos, real",Anual,,
2629,"Impuestos menos subvenciones sobre los productos, real","Impuestos menos subvenciones sobre los productos, real",Anual,,
2632,"Producto Interno Bruto a precios básicos, real","Producto Interno Bruto a precios básicos, real",Anual,,
2699,"Impuestos menos subvenciones sobre los productos, real","Impuestos menos subvenciones sobre los productos, real",Anual,,
2702,"Producto Interno Bruto a precios básicos, real","Producto Interno Bruto a precios básicos, real",Anual,,
2754,"Producto Interno Bruto y Gasto a precios de mercado, real","Producto Interno Bruto y Gasto a precios de mercado, real",Anual,,
2755,"Producto Interno Bruto y Gasto a precios de mercado, real","Producto Interno Bruto y Gasto a precios de mercado, real",Anual,,
22557,Producto interno bruto a precios constandes per capita,Producto interno bruto a precios constandes per capita,Anual,,
22558,Producto interno bruto a precios constandes per capita,Producto interno bruto a precios constandes per capita,Anual,,
783,"Producto Interno Bruto a precios básicos, real","Producto Interno Bruto a precios básicos, real",Anual,,
784,"Agricultura, silvicultura y pesca, real","Agricultura, silvicultura y pesca, real",Anual,,
785,"Extracción de minas y canteras, real","Extracción de minas y canteras, real",Anual,,
787,"Construcción, real","Construcción, real",Anual,,
788,"Electricidad y agua, real","Electricidad y agua, real",Anual,,
789,"Comercio, restaurantes y hoteles, real","Comercio, restaurantes y hoteles, real",Anual,,
790,"Transporte, almacenaje y comunicaciones, real","Transporte, almacenaje y comunicaciones, real",Anual,,
791,"Servicios financieros y seguros, real","Servicios financieros y seguros, real",Anual,,
792,"Actividades inmobiliarias, real","Actividades inmobiliarias, real",Anual,,
793,"Otros servicios prestados a empresas, real","Otros servicios prestados a empresas, real",Anual,,
794,"Servicios de administración pública, real","Servicios de administración pública, real",Anual,,
795,"Servicios comunales, sociales y personales, real","Servicios comunales, sociales y personales, real",Anual,,
796,Servicios de intermediación financiera medidos indirectament,"Servicios de intermediación financiera medidos indirectamente, real",Anual,,
2633,"Agricultura, silvicultura y pesca, real","Agricultura, silvicultura y pesca, real",Anual,,
2634,"Extracción de minas y canteras, real","Extracción de minas y canteras, real",Anual,,
2635,"Industria manufacturera, real","Industria manufacturera, real",Anual,,
2636,"Construcción, real","Construcción, real",Anual,,
2637,"Electricidad y agua, real","Electricidad y agua, real",Anual,,
2638,"Comercio, restaurantes y hoteles, real","Comercio, restaurantes y hoteles, real",Anual,,
2639,"Transporte, almacenaje y comunicaciones, real","Transporte, almacenaje y comunicaciones, real",Anual,,
2640,"Servicios financieros y seguros, real","Servicios financieros y seguros, real",Anual,,
2641,"Actividades inmobiliarias, real","Actividades inmobiliarias, real",Anual,,
2642,"Otros servicios prestados a empresas, real","Otros servicios prestados a empresas, real",Anual,,
2643,"Servicios de administración pública, real","Servicios de administración pública, real",Anual,,
2644,"Servicios comunales, sociales y personales, real","Servicios comunales, sociales y personales, real",Anual,,
2645,Servicios de intermediación financiera medidos indirectament,"Servicios de intermediación financiera medidos indirectamente, real",Anual,,
2703,"Agricultura, silvicultura y pesca, real","Agricultura, silvicultura y pesca, real",Anual,,
2704,"Extracción de minas y canteras, real","Extracción de minas y canteras, real",Anual,,
2705,"Industria manufacturera, real","Industria manufacturera, real",Anual,,
2706,"Construcción, real","Construcción, real",Anual,,
2707,"Electricidad y agua, real","Electricidad y agua, real",Anual,,
2708,"Comercio, restaurantes y hoteles, real","Comercio, restaurantes y hoteles, real",Anual,,
2709,"Transporte, almacenaje y comunicaciones, real","Transporte, almacenaje y comunicaciones, real",Anual,,
2710,"Servicios financieros y seguros, real","Servicios financieros y seguros, real",Anual,,
2711,"Actividades inmobiliarias, real","Actividades inmobiliarias, real",Anual,,
2712,"Otros servicios prestados a empresas, real","Otros servicios prestados a empresas, real",Anual,,
2713,"Servicios de administración pública, real","Servicios de administración pública, real",Anual,,
2714,"Servicios comunales, sociales y personales, real","Servicios comunales, sociales y personales, real",Anual,,
2715,Servicios de intermediación financiera medidos indirectament,"Servicios de intermediación financiera medidos indirectamente, real",Anual,,
786,"Industria manufacturera, real","Industria manufacturera, real",Anual,,
797,"Producto Interno Bruto y Gasto a precios de mercado, real","Producto Interno Bruto y Gasto a precios de mercado, real",Anual,,
798,"Gasto de consumo final, real","Gasto de consumo final, real",Anual,,
799,"Gasto de consumo final de los hogares, real","Gasto de consumo final de los hogares, real",Anual,,
800,"Gasto de consumo final del Gobierno General, real","Gasto de consumo final del Gobierno General, real",Anual,,
2649,"Gasto de consumo final de los hogares, real","Gasto de consumo final de los hogares, real",Anual,,
2650,"Gasto de consumo final del Gobierno General, real","Gasto de consumo final del Gobierno General, real",Anual,,
2717,"Gasto de consumo final de los hogares, real","Gasto de consumo final de los hogares, real",Anual,,
2718,"Gasto de consumo final del Gobierno General, real","Gasto de consumo final del Gobierno General, real",Anual,,
801,"Formación bruta de capital, real","Formación bruta de capital, real",Anual,,
802,"Formación bruta de capital fijo, real","Formación bruta de capital fijo, real",Anual,,
803,"Variación de existencias, real","Variación de existencias, real",Anual,,
2652,"Formación bruta de capital fijo, real","Formación bruta de capital fijo, real",Anual,,
2653,"Variación de existencias, real","Variación de existencias, real",Anual,,
2720,"Formación bruta de capital fijo, real","Formación bruta de capital fijo, real",Anual,,
2721,"Variación de existencias, real","Variación de existencias, real",Anual,,
804,"Exportaciones de bienes y servicios, real","Exportaciones de bienes y servicios, real",Anual,,
805,"Exportaciones de bienes FOB, real","Exportaciones de bienes FOB, real",Anual,,
806,"Exportaciones de servicios, real","Exportaciones de servicios, real",Anual,,
2656,"Exportaciones de bienes FOB, real","Exportaciones de bienes FOB, real",Anual,,
2658,"Exportaciones de servicios, real","Exportaciones de servicios, real",Anual,,
2723,"Exportaciones de bienes FOB, real","Exportaciones de bienes FOB, real",Anual,,
2725,"Exportaciones de servicios, real","Exportaciones de servicios, real",Anual,,
807,"Importaciones de bienes y servicios, real","Importaciones de bienes y servicios, real",Anual,,
808,"Importaciones de bienes FOB, real","Importaciones de bienes FOB, real",Anual,,
809,"Importaciones de servicios, real","Importaciones de servicios, real",Anual,,
2660,"Importaciones de bienes FOB, real","Importaciones de bienes FOB, real",Anual,,
2661,"Importaciones de servicios, real","Importaciones de servicios, real",Anual,,
2727,"Importaciones de bienes FOB, real","Importaciones de bienes FOB, real",Anual,,
2728,"Importaciones de servicios, real","Importaciones de servicios, real",Anual,,
2648,"Gasto de consumo final, real","Gasto de consumo final, real",Anual,,
2654,"Exportaciones de bienes y servicios, real","Exportaciones de bienes y servicios, real",Anual,,
2659,"Importaciones de bienes y servicios, real","Importaciones de bienes y servicios, real",Anual,,
2716,"Gasto de consumo final, real","Gasto de consumo final, real",Anual,,
2722,"Exportaciones de bienes y servicios, real","Exportaciones de bienes y servicios, real",Anual,,
2726,"Importaciones de bienes y servicios, real","Importaciones de bienes y servicios, real",Anual,,
810,"Producto Interno Bruto a precios de mercado, nominal","Producto Interno Bruto a precios de mercado, nominal",Anual,,
811,"Impuestos menos subvenciones sobre los productos, nominal","Impuestos menos subvenciones sobre los productos, nominal",Anual,,
812,"Impuesto sobre los productos y las importaciones, nominal","Impuesto sobre los productos y las importaciones, nominal",Anual,,
813,"Subvenciones a los productos, nominal","Subvenciones a los productos, nominal",Anual,,
2664,"Impuesto sobre los productos y las importaciones, nominal","Impuesto sobre los productos y las importaciones, nominal",Anual,,
2665,"Subvenciones a los productos, nominal","Subvenciones a los productos, nominal",Anual,,
2736,"Impuesto sobre los productos y las importaciones, nominal","Impuesto sobre los productos y las importaciones, nominal",Anual,,
2738,"Subvenciones a los productos, nominal","Subvenciones a los productos, nominal",Anual,,
